video_id,subject,recording,view
S14A06I01M0,S14,S14A06I01,0
S14A06I01S1,S14,S14A06I01,1
S14A06I01S2,S14,S14A06I01,2
S15A04I01M0,S15,S15A04I01,0
S15A04I01S1,S15,S15A04I01,1
S15A04I01S2,S15,S15A04I01,2
S15A05I01M0,S15,S15A05I01,0
S15A05I01S1,S15,S15A05I01,1
S15A05I01S2,S15,S15A05I01,2
S15A06I01M0,S15,S15A06I01,0
S15A06I01S1,S15,S15A06I01,1
S15A06I01S2,S15,S15A06I01,2
S16A04I01M0,S16,S16A04I01,0
S16A04I01S1,S16,S16A04I01,1
S16A04I01S2,S16,S16A04I01,2
S16A05I01M0,S16,S16A05I01,0
S16A05I01S1,S16,S16A05I01,1
S16A05I01S2,S16,S16A05I01,2
S16A06I01M0,S16,S16A06I01,0
S16A06I01S1,S16,S16A06I01,1
S16A06I01S2,S16,S16A06I01,2
S16A10I22M0,S16,S16A10I22,0
S16A10I22S1,S16,S16A10I22,1
S16A10I22S2,S16,S16A10I22,2
S16A11I22M0,S16,S16A11I22,0
S16A11I22S1,S16,S16A11I22,1
S16A11I22S2,S16,S16A11I22,2
S16A12I22M0,S16,S16A12I22,0
S16A12I22S1,S16,S16A12I22,1
S16A12I22S2,S16,S16A12I22,2
S16A16I25M0,S16,S16A16I25,0
S16A16I25S1,S16,S16A16I25,1
S16A16I25S2,S16,S16A16I25,2
S16A17I25M0,S16,S16A17I25,0
S16A17I25S1,S16,S16A17I25,1
S16A17I25S2,S16,S16A17I25,2
S16A18I25M0,S16,S16A18I25,0
S16A18I25S1,S16,S16A18I25,1
S16A18I25S2,S16,S16A18I25,2
S16A22I26M0,S16,S16A22I26,0
S16A22I26S1,S16,S16A22I26,1
S16A22I26S2,S16,S16A22I26,2
S16A23I26M0,S16,S16A23I26,0
S16A23I26S1,S16,S16A23I26,1
S16A23I26S2,S16,S16A23I26,2
S16A24I26M0,S16,S16A24I26,0
S16A24I26S1,S16,S16A24I26,1
S16A24I26S2,S16,S16A24I26,2
S16A28I31M0,S16,S16A28I31,0
S16A28I31S1,S16,S16A28I31,1
S16A28I31S2,S16,S16A28I31,2
S16A29I31M0,S16,S16A29I31,0
S16A29I31S1,S16,S16A29I31,1
S16A29I31S2,S16,S16A29I31,2
S16A30I31M0,S16,S16A30I31,0
S16A30I31S1,S16,S16A30I31,1
S16A30I31S2,S16,S16A30I31,2
S16A34I32M0,S16,S16A34I32,0
S16A34I32S1,S16,S16A34I32,1
S16A34I32S2,S16,S16A34I32,2
S16A35I32M0,S16,S16A35I32,0
S16A35I32S1,S16,S16A35I32,1
S16A35I32S2,S16,S16A35I32,2
S16A36I32M0,S16,S16A36I32,0
S16A36I32S1,S16,S16A36I32,1
S16A36I32S2,S16,S16A36I32,2
S17A04I01M0,S17,S17A04I01,0
S17A04I01S1,S17,S17A04I01,1
S17A04I01S2,S17,S17A04I01,2
S17A05I01M0,S17,S17A05I01,0
S17A05I01S1,S17,S17A05I01,1
S17A05I01S2,S17,S17A05I01,2
S17A06I01M0,S17,S17A06I01,0
S17A06I01S1,S17,S17A06I01,1
S17A06I01S2,S17,S17A06I01,2
S20A04I01M0,S20,S20A04I01,0
S20A04I01S1,S20,S20A04I01,1
S20A04I01S2,S20,S20A04I01,2
S20A05I01M0,S20,S20A05I01,0
S20A05I01S1,S20,S20A05I01,1
S20A05I01S2,S20,S20A05I01,2
S20A06I01M0,S20,S20A06I01,0
S20A06I01S1,S20,S20A06I01,1
S20A06I01S2,S20,S20A06I01,2
S21A04I01M0,S21,S21A04I01,0
S21A04I01S1,S21,S21A04I01,1
S21A04I01S2,S21,S21A04I01,2
S21A05I01M0,S21,S21A05I01,0
S21A05I01S1,S21,S21A05I01,1
S21A05I01S2,S21,S21A05I01,2
S21A06I01M0,S21,S21A06I01,0
S21A06I01S1,S21,S21A06I01,1
S21A06I01S2,S21,S21A06I01,2
S21A10I21M0,S21,S21A10I21,0
S21A10I21S1,S21,S21A10I21,1
S21A10I21S2,S21,S21A10I21,2
S21A12I21M0,S21,S21A12I21,0
S21A12I21S1,S21,S21A12I21,1
S21A12I21S2,S21,S21A12I21,2
S21A16I23M0,S21,S21A16I23,0
S21A16I23S1,S21,S21A16I23,1
S21A16I23S2,S21,S21A16I23,2
S21A18I23M0,S21,S21A18I23,0
S21A18I23S1,S21,S21A18I23,1
S21A18I23S2,S21,S21A18I23,2
S21A22I26M0,S21,S21A22I26,0
S21A22I26S1,S21,S21A22I26,1
S21A22I26S2,S21,S21A22I26,2
S21A24I26M0,S21,S21A24I26,0
S21A24I26S1,S21,S21A24I26,1
S21A24I26S2,S21,S21A24I26,2
S21A26I31M0,S21,S21A26I31,0
S21A26I31S1,S21,S21A26I31,1
S21A26I31S2,S21,S21A26I31,2
S21A28I32M0,S21,S21A28I32,0
S21A28I32S1,S21,S21A28I32,1
S21A28I32S2,S21,S21A28I32,2
S21A34I31M0,S21,S21A34I31,0
S21A34I31S1,S21,S21A34I31,1
S21A34I31S2,S21,S21A34I31,2
S21A36I32M0,S21,S21A36I32,0
S21A36I32S1,S21,S21A36I32,1
S21A36I32S2,S21,S21A36I32,2
S23A04I01M0,S23,S23A04I01,0
S23A04I01S1,S23,S23A04I01,1
S23A04I01S2,S23,S23A04I01,2
S23A05I01M0,S23,S23A05I01,0
S23A05I01S1,S23,S23A05I01,1
S23A05I01S2,S23,S23A05I01,2
S23A06I01M0,S23,S23A06I01,0
S23A06I01S1,S23,S23A06I01,1
S23A06I01S2,S23,S23A06I01,2
S23A10I22M0,S23,S23A10I22,0
S23A10I22S1,S23,S23A10I22,1
S23A10I22S2,S23,S23A10I22,2
S23A11I22M0,S23,S23A11I22,0
S23A11I22S1,S23,S23A11I22,1
S23A11I22S2,S23,S23A11I22,2
S23A12I22M0,S23,S23A12I22,0
S23A12I22S1,S23,S23A12I22,1
S23A12I22S2,S23,S23A12I22,2
S23A16I26M0,S23,S23A16I26,0
S23A16I26S1,S23,S23A16I26,1
S23A16I26S2,S23,S23A16I26,2
S23A17I26M0,S23,S23A17I26,0
S23A17I26S1,S23,S23A17I26,1
S23A17I26S2,S23,S23A17I26,2
S23A18I26M0,S23,S23A18I26,0
S23A18I26S1,S23,S23A18I26,1
S23A18I26S2,S23,S23A18I26,2
S23A22I23M0,S23,S23A22I23,0
S23A22I23S1,S23,S23A22I23,1
S23A22I23S2,S23,S23A22I23,2
S23A23I23M0,S23,S23A23I23,0
S23A23I23S1,S23,S23A23I23,1
S23A23I23S2,S23,S23A23I23,2
S23A24I23M0,S23,S23A24I23,0
S23A24I23S1,S23,S23A24I23,1
S23A24I23S2,S23,S23A24I23,2
S23A28I32M0,S23,S23A28I32,0
S23A28I32S1,S23,S23A28I32,1
S23A28I32S2,S23,S23A28I32,2
S23A29I31M0,S23,S23A29I31,0
S23A29I31S1,S23,S23A29I31,1
S23A29I31S2,S23,S23A29I31,2
S23A30I31M0,S23,S23A30I31,0
S23A30I31S1,S23,S23A30I31,1
S23A30I31S2,S23,S23A30I31,2
S23A34I31M0,S23,S23A34I31,0
S23A34I31S1,S23,S23A34I31,1
S23A34I31S2,S23,S23A34I31,2
S23A35I32M0,S23,S23A35I32,0
S23A35I32S1,S23,S23A35I32,1
S23A35I32S2,S23,S23A35I32,2
S23A36I32M0,S23,S23A36I32,0
S23A36I32S1,S23,S23A36I32,1
S23A36I32S2,S23,S23A36I32,2
S25A04I01M0,S25,S25A04I01,0
S25A04I01S1,S25,S25A04I01,1
S25A04I01S2,S25,S25A04I01,2
S25A05I01M0,S25,S25A05I01,0
S25A05I01S1,S25,S25A05I01,1
S25A05I01S2,S25,S25A05I01,2
S25A06I01M0,S25,S25A06I01,0
S25A06I01S1,S25,S25A06I01,1
S25A06I01S2,S25,S25A06I01,2
S25A10I24M0,S25,S25A10I24,0
S25A10I24S1,S25,S25A10I24,1
S25A10I24S2,S25,S25A10I24,2
S25A11I24M0,S25,S25A11I24,0
S25A11I24S1,S25,S25A11I24,1
S25A11I24S2,S25,S25A11I24,2
S25A12I24M0,S25,S25A12I24,0
S25A12I24S1,S25,S25A12I24,1
S25A12I24S2,S25,S25A12I24,2
S25A16I23M0,S25,S25A16I23,0
S25A16I23S1,S25,S25A16I23,1
S25A16I23S2,S25,S25A16I23,2
S25A17I23M0,S25,S25A17I23,0
S25A17I23S1,S25,S25A17I23,1
S25A17I23S2,S25,S25A17I23,2
S25A18I23M0,S25,S25A18I23,0
S25A18I23S1,S25,S25A18I23,1
S25A18I23S2,S25,S25A18I23,2
S25A22I26M0,S25,S25A22I26,0
S25A22I26S1,S25,S25A22I26,1
S25A22I26S2,S25,S25A22I26,2
S25A23I26M0,S25,S25A23I26,0
S25A23I26S1,S25,S25A23I26,1
S25A23I26S2,S25,S25A23I26,2
S25A24I26M0,S25,S25A24I26,0
S25A24I26S1,S25,S25A24I26,1
S25A24I26S2,S25,S25A24I26,2
S25A28I32M0,S25,S25A28I32,0
S25A28I32S1,S25,S25A28I32,1
S25A28I32S2,S25,S25A28I32,2
S25A29I31M0,S25,S25A29I31,0
S25A29I31S1,S25,S25A29I31,1
S25A29I31S2,S25,S25A29I31,2
S25A30I31M0,S25,S25A30I31,0
S25A30I31S1,S25,S25A30I31,1
S25A30I31S2,S25,S25A30I31,2
S25A34I31M0,S25,S25A34I31,0
S25A34I31S1,S25,S25A34I31,1
S25A34I31S2,S25,S25A34I31,2
S25A35I32M0,S25,S25A35I32,0
S25A35I32S1,S25,S25A35I32,1
S25A35I32S2,S25,S25A35I32,2
S25A36I32M0,S25,S25A36I32,0
S25A36I32S1,S25,S25A36I32,1
S25A36I32S2,S25,S25A36I32,2
S27A04I01M0,S27,S27A04I01,0
S27A04I01S1,S27,S27A04I01,1
S27A04I01S2,S27,S27A04I01,2
S27A05I01M0,S27,S27A05I01,0
S27A05I01S1,S27,S27A05I01,1
S27A05I01S2,S27,S27A05I01,2
S27A06I01M0,S27,S27A06I01,0
S27A06I01S1,S27,S27A06I01,1
S27A06I01S2,S27,S27A06I01,2
S28A02I01M0,S28,S28A02I01,0
S28A02I01S1,S28,S28A02I01,1
S28A02I01S2,S28,S28A02I01,2
S28A04I01M0,S28,S28A04I01,0
S28A04I01S1,S28,S28A04I01,1
S28A04I01S2,S28,S28A04I01,2
S28A06I01M0,S28,S28A06I01,0
S28A06I01S1,S28,S28A06I01,1
S28A06I01S2,S28,S28A06I01,2
S28A10I25M0,S28,S28A10I25,0
S28A10I25S1,S28,S28A10I25,1
S28A10I25S2,S28,S28A10I25,2
S28A12I25M0,S28,S28A12I25,0
S28A12I25S1,S28,S28A12I25,1
S28A12I25S2,S28,S28A12I25,2
S28A16I26M0,S28,S28A16I26,0
S28A16I26S1,S28,S28A16I26,1
S28A16I26S2,S28,S28A16I26,2
S28A18I26M0,S28,S28A18I26,0
S28A18I26S1,S28,S28A18I26,1
S28A18I26S2,S28,S28A18I26,2
S28A22I23M0,S28,S28A22I23,0
S28A22I23S1,S28,S28A22I23,1
S28A22I23S2,S28,S28A22I23,2
S28A24I23M0,S28,S28A24I23,0
S28A24I23S1,S28,S28A24I23,1
S28A24I23S2,S28,S28A24I23,2
S28A26I31M0,S28,S28A26I31,0
S28A26I31S1,S28,S28A26I31,1
S28A26I31S2,S28,S28A26I31,2
S28A28I32M0,S28,S28A28I32,0
S28A28I32S1,S28,S28A28I32,1
S28A28I32S2,S28,S28A28I32,2
S28A34I31M0,S28,S28A34I31,0
S28A34I31S1,S28,S28A34I31,1
S28A34I31S2,S28,S28A34I31,2
S28A36I32M0,S28,S28A36I32,0
S28A36I32S1,S28,S28A36I32,1
S28A36I32S2,S28,S28A36I32,2
S29A02I01M0,S29,S29A02I01,0
S29A02I01S1,S29,S29A02I01,1
S29A02I01S2,S29,S29A02I01,2
S29A04I01M0,S29,S29A04I01,0
S29A04I01S1,S29,S29A04I01,1
S29A04I01S2,S29,S29A04I01,2
S29A06I01M0,S29,S29A06I01,0
S29A06I01S1,S29,S29A06I01,1
S29A06I01S2,S29,S29A06I01,2
S29A10I21M0,S29,S29A10I21,0
S29A10I21S1,S29,S29A10I21,1
S29A10I21S2,S29,S29A10I21,2
S29A12I21M0,S29,S29A12I21,0
S29A12I21S1,S29,S29A12I21,1
S29A12I21S2,S29,S29A12I21,2
S29A16I25M0,S29,S29A16I25,0
S29A16I25S1,S29,S29A16I25,1
S29A16I25S2,S29,S29A16I25,2
S29A18I25M0,S29,S29A18I25,0
S29A18I25S1,S29,S29A18I25,1
S29A18I25S2,S29,S29A18I25,2
S29A22I26M0,S29,S29A22I26,0
S29A22I26S1,S29,S29A22I26,1
S29A22I26S2,S29,S29A22I26,2
S29A24I26M0,S29,S29A24I26,0
S29A24I26S1,S29,S29A24I26,1
S29A24I26S2,S29,S29A24I26,2
S29A26I31M0,S29,S29A26I31,0
S29A26I31S1,S29,S29A26I31,1
S29A26I31S2,S29,S29A26I31,2
S29A28I32M0,S29,S29A28I32,0
S29A28I32S1,S29,S29A28I32,1
S29A28I32S2,S29,S29A28I32,2
S29A30I31M0,S29,S29A30I31,0
S29A30I31S1,S29,S29A30I31,1
S29A30I31S2,S29,S29A30I31,2
S29A32I32M0,S29,S29A32I32,0
S29A32I32S1,S29,S29A32I32,1
S29A32I32S2,S29,S29A32I32,2
S29A34I31M0,S29,S29A34I31,0
S29A34I31S1,S29,S29A34I31,1
S29A34I31S2,S29,S29A34I31,2
S29A36I32M0,S29,S29A36I32,0
S29A36I32S1,S29,S29A36I32,1
S29A36I32S2,S29,S29A36I32,2
